D,M,Type,Priority,Colour,vesperesI,liturgija,Name
7,4,piemiòas diena,9,B,,,"sv. Jânis Kristîtâjs no Sales, priesteris"
11,4,atceres diena,11,S,,,"Sv. Staòislavs, bîskaps un moceklis"
13,4,atceres diena,11,S,,,"Sv. Mârtiòð I, pâvests un moceklis"
21,4,fakult.piemiòas diena,10,B,,,"Sv. Anzelms, bîskaps un Baznîcas doktors"
23,4,fakult.piemiòas diena,10,S&S,,,"Sv. Juris, moceklis<br>Sv. Adalberts, bîskaps un moceklis"
24,4,fakult.piemiòas diena,10,S,,,"Sv. Fidels no Sigmaringas, priesteris un moceklis"
25,4,svçtki,8,S,,,"SV. MARKS, EVAÒÌÇLISTS"
28,4,fakult.piemiòas diena,10,S&B,,,"Sv. Pçteris Ðanels, priesteris un moceklis<br>Sv. Ludvigs Marija Grignion no Montfortas, priesteris"
29,4,piemiòas diena,9,B,,,"Sv. Katrîna no Sjçnas, jaunava, Baznîcas doktore un Eiropas aizbildne"
30,4,fakult.piemiòas diena,10,B,,,"Sv. Pijs V, pâvests"
1,5,fakult.piemiòas diena,10,B,,,"Sv. Jâzeps, strâdnieks"
2,5,piemiòas diena,9,B,,,"Sv. Atanâzijs, bîskaps un Baznîcas doktors"
3,5,svçtki,8,S,,,SV. APUSTUÏI FILIPS UN JÇKABS
12,5,fakult.piemiòas diena,10,S&S,,,"Sv. Nerejs un sv. Ahilejs, mocekïi<br> Sv. Pankratijs, moceklis"
13,5,fakult.piemiòas diena,10,B,,,V.J.Marija no Fatimas
14,5,svçtki,8,S,,,SV. APUSTULIS MATIJS
15,5,fakult.piemiòas diena,10,B,,,Sv. Izidors Arâjs
18,5,fakult.piemiòas diena,10,S,,,"Sv. Jânis I, pâvests un moceklis"
20,5,fakult.piemiòas diena,10,B,,,"Sv. Bernardîns no Sjçnas, priesteris"
21,5,fakult.piemiòas diena,10,S,,,"Sv. Kristofors Magelâns, priesteris, un viòa biedri, mocekïi"
22,5,fakult.piemiòas diena,10,B,,,"Sv. Rita no Kaskijas, mûíene"
24,5,fakult.piemiòas diena,10,B,,,Vissv. Jaunava Marija – Kristîgo Palîdzîba
25,5,fakult.piemiòas diena,10,B&B&B,,,"Sv. Beda Godâjamais, priesteris un Baznîcas doktors<br>Sv. Gregors VII, pâvests<br>Sv. Marija Magdalçna no Pazzi, jaunava."
26,5,piemiòas diena,9,B,,,"Sv. Filips Neri, priesteris"
27,5,fakult.piemiòas diena,10,B,,,"Sv. Augustîns no Kenterberijas, bîskaps"
28,5,svçtki,8,S,,,"MÛSU KUNGS JÇZUS KRISTUS, AUGSTAIS UN MÛÞÎGAIS PRIESTERIS"
31,5,svçtki,8,B,,,VISSVÇTÂS JAUNAVAS MARIJAS APMEKLÇÐANA
1,6,piemiòas diena,9,S,,,"Sv. Justîns, moceklis"
2,6,fakult.piemiòas diena,10,S,,,"Sv. Marcelîns un Pçteris, mocekïi"
3,6,piemiòas diena,9,S,,,"Sv. Kârlis Lvanga un viòa biedri, mocekïi"
5,6,piemiòas diena,9,S,,,"Sv. Bonifâcijs, bîskaps un moceklis"
6,6,fakult.piemiòas diena,10,S,,,"Sv. Norberts, bîskaps"
9,6,fakult.piemiòas diena,10,B,,,"Sv. Efrçms, diakons un Baznîcas doktors"
11,6,piemiòas diena,9,S,,,"Sv. Barnaba, apustulis"
13,6,piemiòas diena,9,B,,,"Sv. Antons no Padujas, priesteris un Baznîcas doktors"
19,6,fakult.piemiòas diena,10,B,,,"Sv. Romualds, abats"
21,6,piemiòas diena,9,B,,,"Sv. Aloizijs Gonzaga, mûks"
22,6,fakult.piemiòas diena,10,B&S,,,"Sv. Paulîns no Nolas, bîskaps<br>Sv. Jânis Fiðers, bîskaps, un sv. Toms Mors, mocekïi"
24,6,svinîbas,6,B,,,SV. JÂÒA KRISTÎTÂJA DZIMÐANA
27,6,fakult.piemiòas diena,10,B&B,,,"Sv. Kirils no Aleksandrijas, bîskaps un Baznîcas doktors<br>Vissv. Jaunava Marija - Pastâvîgâ Palîdzîba"
28,6,piemiòas diena,9,S,,,"Sv. Irenejs, bîskaps un moceklis"
29,6,lielas svinîbas,5,S,,,SV. APUSTUÏI PÇTERIS UN PÂVILS
30,6,fakult.piemiòas diena,10,S,,,Svçtâs Romas Baznîcas sv. pirmmocekïi
3,7,svinîbas,6,S,,,SV. APUSTULIS TOMS
4,7,fakult.piemiòas diena,10,B,,,Sv. Elizabete no Portugâles
5,7,fakult.piemiòas diena,10,B,,,"Sv. Antons Marija Zaharijs, priesteris"
6,7,fakult.piemiòas diena,10,S,,,"Sv. Marija Goreti, jaunava un mocekle"
9,7,fakult.piemiòas diena,10,S,,,"Sv. Augustîns Zhao Rongs, priesteris, un viòa biedri, mocekïi"
11,7,piemiòas diena,9,B,,,"Sv. Benedikts, abats, Eiropas aizbildnis"
13,7,fakult.piemiòas diena,10,B,,,Sv. Henriks
14,7,piemiòas diena,9,B,,,"Sv. Kamils no Lellisas, priesteris"
15,7,piemiòas diena,9,B,,,"Sv. Bonaventûra, bîskaps un Baznîcas doktors"
16,7,fakult.piemiòas diena,10,B,,,Vissv. Jaunava Marija – Karmela kalna Dievmâte
20,7,fakult.piemiòas diena,10,S,,,"Sv. Apolinârijs, bîskaps un moceklis"
21,7,fakult.piemiòas diena,10,B,,,"Sv. Laurencijs no Brindisi, priesteris un Baznîcas doktors"
22,7,piemiòas diena,9,B,,,Sv. Marija Magdalçna
23,7,fakult.piemiòas diena,9,B,,,"Sv. Brigita, mûíene, Eiropas aizbildne"
24,7,fakult.piemiòas diena,10,B,,,"Sv. Sarbçlijs Makhlûfs, priesteris"
25,7,svinîbas,6,S,,,SV. APUSTULIS JÇKABS
26,7,piemiòas diena,9,B,,,Sv. Joahims un Sv. Anna
29,7,piemiòas diena,9,B,,,Sv. Marta
30,7,fakult.piemiòas diena,10,B,,,"Sv. Pçteris Hrizologs, bîskaps un Baznîcas doktors"
31,7,piemiòas diena,9,B,,,"Sv. Ignâts no Lojolas, priesteris"
1,8,piemiòas diena,9,B,,,"Sv. Alfons Marija Liguri, bîskaps un Baznîcas doktors"
